rank,geo,country,nuts1_name,ai_literacy_gap_index,baseline_score,pillars_available,P1_norm,P2_norm,P3_norm,P4_norm,P5_norm,P6_norm,cluster_id,cluster_label
1,ITG,Italy,Isole,0.7277838367414436,0.7221208875304423,6,0.6508264462809918,0.9711310056841695,0.74859287054409,0.8567567567567568,0.3538011695906433,0.7516170763260026,2,High Poverty & Low Education
2,ITF,Italy,Sud,0.6976047975917429,0.6913779984983264,6,0.7171143250688705,0.8692206005695349,0.6772983114446529,0.8513513513513513,0.3508771929824562,0.6824062095730918,2,High Poverty & Low Education
3,FRY,France,RUP FR — Régions Ultrapériphériques Françaises,0.6845786344633648,0.668190296251913,6,0.6053719008264463,1.0,0.6566604127579737,0.8405405405405406,0.7222222222222224,0.1843467011642949,2,High Poverty & Low Education
4,BG3,Bulgaria,Severna i Yugoiztochna Bulgaria,0.6491288105213792,0.6482444462341084,6,0.8605371900826446,0.7173673542701532,0.2420262664165103,0.9189189189189187,0.3362573099415205,0.814359637774903,0,Low Digital Skills
5,RO2,Romania,Macroregiunea Doi,0.6481297822192594,0.6395893784033561,6,0.934228650137741,0.7437977920720237,0.425891181988743,0.827027027027027,0.4415204678362573,0.4650711513583441,0,Low Digital Skills
6,EL6,Greece,Kentriki Elláda,0.6348899735682498,0.6319843615463409,6,0.7332988980716253,0.6679776944733198,0.4052532833020638,0.9891891891891892,0.1578947368421052,0.8382923673997412,0,Low Digital Skills
7,PT3,Portugal,Região Autónoma da Madeira,0.6146713810954015,0.6114724603912742,5,0.6291322314049586,0.3172455952057219,0.849906191369606,0.7216216216216216,,0.539456662354463,2,High Poverty & Low Education
8,FRM,France,Corse,0.5982551108873134,0.6008755986747146,5,0.3073347107438018,0.5823151669424532,0.3583489681050656,0.9297297297297296,,0.8266494178525227,1,Ageing Workforce
9,RO4,Romania,Macroregiunea Patru,0.5969374082789493,0.5899495671481955,6,1.0,0.578955857296249,0.2570356472795497,0.9135135135135136,0.2339181286549708,0.55627425614489,0,Low Digital Skills
10,RO1,Romania,Macroregiunea Unu,0.5946889386864822,0.5868357044213759,6,0.9521349862258952,0.4935906550351478,0.3208255159474671,0.8837837837837837,0.4385964912280702,0.4320827943078915,0,Low Digital Skills
11,DE8,Germany,Mecklenburg-Vorpommern,0.586136596956687,0.5970196440745383,5,0.7059228650137741,0.3499702336917381,0.0712945590994371,0.8837837837837837,,0.9741267787839588,0,Low Digital Skills
12,ES6,Spain,Sur,0.5846919759578488,0.5750354682302631,6,0.3770661157024791,0.7750419500539271,0.726078799249531,0.7108108108108109,0.4912280701754385,0.369987063389392,2,High Poverty & Low Education
13,EL5,Greece,Voreia Elláda,0.5744778598159485,0.5714071987296553,6,0.4795110192837465,0.6796810925288009,0.3114446529080675,0.954054054054054,0.2573099415204679,0.7464424320827944,0,Low Digital Skills
14,DEE,Germany,Sachsen-Anhalt,0.569076490846569,0.5760019895050648,6,0.7236570247933884,0.4350542937553803,0.1069418386491557,0.8891891891891892,0.3011695906432749,1.0,0,Low Digital Skills
15,ES4,Spain,Centro (ES),0.5686962133318408,0.5676823551219069,6,0.3956611570247934,0.5974021195832063,0.6885553470919324,0.6918918918918919,0.3391812865497076,0.6934023285899096,2,High Poverty & Low Education
16,PT2,Portugal,Região Autónoma dos Açores,0.5254278332448927,0.5114300164616453,6,0.5547520661157024,0.3532426975403397,1.0,0.8027027027027027,0.0409356725146199,0.3169469598965072,2,High Poverty & Low Education
17,ES7,Spain,Canarias,0.5231746905872059,0.513231703911293,6,0.3226584022038566,0.6673992270060954,0.6172607879924953,0.7351351351351352,0.4005847953216375,0.3363518758085382,2,High Poverty & Low Education
18,HU3,Hungary,Alföld és Észak,0.5167482807546853,0.5122548874979095,6,0.5953856749311295,0.5609198017231696,0.2514071294559099,0.8027027027027027,0.3391812865497076,0.5239327296248383,0,Low Digital Skills
19,EL3,Greece,Attiki,0.5090348996952643,0.5069877721514782,6,0.5969352617079889,0.4186919745123721,0.1181988742964352,0.9027027027027028,0.4064327485380117,0.5989650711513583,0,Low Digital Skills
20,BG4,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,0.5082711965518384,0.503602924340505,6,0.7591253443526171,0.481820029882227,0.123827392120075,0.927027027027027,0.1140350877192982,0.6157826649417854,0,Low Digital Skills
21,ES1,Spain,Noroeste,0.5037626878421356,0.5099614366105184,6,0.3868801652892562,0.3588799419217207,0.5046904315196998,0.6837837837837838,0.2251461988304094,0.9003880983182406,1,Ageing Workforce
22,EL4,Greece,"Nisia Aigaiou, Kriti",0.5010940896105825,0.4932563570409249,6,0.5270316804407713,0.3851622183878505,0.3958724202626641,1.0,0.0964912280701754,0.554980595084088,0,Low Digital Skills
23,PL8,Poland,Makroregion wschodni,0.4977904969400759,0.4965882065420509,5,0.7472451790633607,0.279698178970015,0.0431519699812382,0.8675675675675676,,0.5452781371280726,0,Low Digital Skills
24,PL7,Poland,Makroregion centralny,0.4970165656875744,0.5001115176130704,5,0.6821625344352618,0.2259293944241409,0.0469043151969981,0.8702702702702703,,0.6752910737386805,0,Low Digital Skills
25,SK0,Slovakia,Slovensko,0.4875371028964766,0.4881950797867146,6,0.5442493112947657,0.1927645738900751,0.048780487804878,0.7675675675675675,1.0,0.3758085381630013,4,Low-Skill Unemployment
26,LV0,Latvia,Latvija,0.4834533037900025,0.4821742946166733,6,0.6325757575757576,0.4546890768469899,0.099437148217636,0.7810810810810811,0.3508771929824562,0.5743855109961191,0,Low Digital Skills
27,RO3,Romania,Macroregiunea Trei,0.4762375460531476,0.4739888884656851,6,0.8135330578512396,0.3415512828802642,0.2063789868667917,0.664864864864865,0.3596491228070175,0.4579560155239328,0,Low Digital Skills
28,LT0,Lithuania,Lietuva,0.4750304730325275,0.4726510014461733,6,0.5401170798898072,0.5091057770606631,0.0150093808630394,0.8081081081081081,0.4532163742690059,0.5103492884864165,0,Low Digital Skills
29,DE4,Germany,Brandenburg,0.4746618771681877,0.4794282227875051,6,0.4035812672176309,0.2877934205683073,0.123827392120075,0.9162162162162162,0.2719298245614036,0.8732212160413971,1,Ageing Workforce
30,ITI,Italy,Centro (IT),0.4715505192589684,0.4734825369044733,6,0.487431129476584,0.2518780904447967,0.4521575984990619,0.7891891891891892,0.0614035087719298,0.7988357050452781,1,Ageing Workforce
31,DED,Germany,Sachsen,0.4713128600134276,0.4793484808104192,6,0.3989325068870524,0.2932552984753144,0.0581613508442776,0.8378378378378378,0.3713450292397661,0.9165588615782664,1,Ageing Workforce
