indic_is,indic_is_label,unit,unit_label,n_regions,n_rows,n_non_missing,n_missing,min_value,median_value,max_value,missing_share
I_DSK2_AB,Individuals with above basic overall digital skills (all five component indicators are at above basic level),PC_IND,Percentage of individuals,88,88,88,0,3.7,27.96,59.42,0.0
I_DSK2_B,"Individuals with basic overall digital skills (all five component indicators are at basic or above basic level, without being all above basic)",PC_IND,Percentage of individuals,88,88,88,0,13.41,28.630000000000003,39.55,0.0
I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,88,88,88,0,18.56,59.645,85.17,0.0
I_DSK2_CC_AB,Individuals with above basic communication and collaboration skills,PC_IND,Percentage of individuals,88,88,88,0,71.29,85.515,99.42,0.0
I_DSK2_CC_B,Individuals with basic communication and collaboration skills,PC_IND,Percentage of individuals,88,88,88,0,0.44,4.855,10.95,0.0
I_DSK2_CC_BAB,Individuals with basic or above basic communication and collaboration skills,PC_IND,Percentage of individuals,88,88,88,0,78.31,92.07,99.86,0.0
I_DSK2_DCC_AB,Individuals with above basic digital content creation skills,PC_IND,Percentage of individuals,88,88,88,0,6.98,47.114999999999995,71.4,0.0
I_DSK2_DCC_B,Individuals with basic digital content creation skills,PC_IND,Percentage of individuals,88,88,88,0,10.2,21.545,35.22,0.0
I_DSK2_DCC_BAB,Individuals with basic or above basic digital content creation skills,PC_IND,Percentage of individuals,88,88,88,0,25.59,69.85499999999999,89.26,0.0
I_DSK2_IC_S,Individuals with online information and communication skills,PC_IND,Percentage of individuals,85,85,73,12,0.0,2.54,9.27,0.1411764705882353
I_DSK2_IL_AB,Individuals with above basic information and data literacy skills,PC_IND,Percentage of individuals,88,88,88,0,46.96,72.38499999999999,93.28,0.0
I_DSK2_IL_B,Individuals with basic information and data literacy skills,PC_IND,Percentage of individuals,88,88,88,0,4.32,12.434999999999999,22.48,0.0
I_DSK2_IL_BAB,Individuals with basic or above basic information and data literacy skills,PC_IND,Percentage of individuals,88,88,88,0,62.66,85.265,97.87,0.0
I_DSK2_LM,Individuals with limited overall digital skills (two out of five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,87,87,87,0,0.0,4.33,13.05,0.0
I_DSK2_LW,Individuals with low overall digital skills (four out of five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,88,88,88,0,9.92,18.1,29.2,0.0
I_DSK2_N,Individuals with narrow overall digital skills (three out of five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,88,88,88,0,3.67,9.26,25.52,0.0
I_DSK2_NA,Digital skills could not be assessed because the individual has not used the internet in the last 3 months,PC_IND,Percentage of individuals,88,88,88,0,0.14,6.484999999999999,21.38,0.0
I_DSK2_PS_AB,Individuals with above basic problem solving skills,PC_IND,Percentage of individuals,88,88,88,0,22.61,60.504999999999995,90.56,0.0
I_DSK2_PS_B,Individuals with basic problem solving skills,PC_IND,Percentage of individuals,88,88,88,0,7.4,24.83,43.57,0.0
I_DSK2_PS_BAB,Individuals with basic or above basic problem solving skills,PC_IND,Percentage of individuals,88,88,88,0,60.33,86.14,98.97,0.0
I_DSK2_SF_AB,Individuals with above basic safety skills,PC_IND,Percentage of individuals,88,88,88,0,13.84,47.575,78.83,0.0
I_DSK2_SF_B,Individuals with basic safety skills,PC_IND,Percentage of individuals,88,88,88,0,12.08,24.675,39.15,0.0
I_DSK2_SF_BAB,Individuals with basic or above basic safety skills,PC_IND,Percentage of individuals,88,88,88,0,34.13,73.59,92.99,0.0
I_DSK2_X,Individuals with no overall digital skills,PC_IND,Percentage of individuals,87,87,87,0,0.0,2.51,11.45,0.0
I_DSK2_AB,Individuals with above basic overall digital skills (all five component indicators are at above basic level),PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,4.27,30.39,59.56,0.0
I_DSK2_B,"Individuals with basic overall digital skills (all five component indicators are at basic or above basic level, without being all above basic)",PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,15.93,30.38,41.58,0.0
I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,21.63,63.735,85.36,0.0
I_DSK2_CC_AB,Individuals with above basic communication and collaboration skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,83.23,92.89,99.56,0.0
I_DSK2_CC_B,Individuals with basic communication and collaboration skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,0.44,5.24,12.29,0.0
I_DSK2_CC_BAB,Individuals with basic or above basic communication and collaboration skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,92.23,98.61500000000001,100.0,0.0
I_DSK2_DCC_AB,Individuals with above basic digital content creation skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,8.05,50.155,71.57,0.0
I_DSK2_DCC_B,Individuals with basic digital content creation skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,10.81,23.375,37.62,0.0
I_DSK2_DCC_BAB,Individuals with basic or above basic digital content creation skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,30.39,74.85499999999999,92.23,0.0
I_DSK2_IC_S,Individuals with online information and communication skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,85,85,73,12,0.0,2.69,9.92,0.1411764705882353
I_DSK2_IL_AB,Individuals with above basic information and data literacy skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,55.33,77.87,93.49,0.0
I_DSK2_IL_B,Individuals with basic information and data literacy skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,4.33,13.615,24.11,0.0
I_DSK2_IL_BAB,Individuals with basic or above basic information and data literacy skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,76.28,91.52000000000001,98.02,0.0
I_DSK2_LM,Individuals with limited overall digital skills (two out of five component indicators are at basic or above basic level),PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,87,87,87,0,0.0,4.77,15.06,0.0
I_DSK2_LW,Individuals with low overall digital skills (four out of five component indicators are at basic or above basic level),PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,9.95,19.59,33.01,0.0
I_DSK2_N,Individuals with narrow overall digital skills (three out of five component indicators are at basic or above basic level),PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,3.68,9.875,29.93,0.0
I_DSK2_PS_AB,Individuals with above basic problem solving skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,24.31,64.345,90.76,0.0
I_DSK2_PS_B,Individuals with basic problem solving skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,7.44,26.740000000000002,49.21,0.0
I_DSK2_PS_BAB,Individuals with basic or above basic problem solving skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,70.22,91.93,99.2,0.0
I_DSK2_SF_AB,Individuals with above basic safety skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,15.68,51.805,79.01,0.0
I_DSK2_SF_B,Individuals with basic safety skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,13.16,26.485,41.51,0.0
I_DSK2_SF_BAB,Individuals with basic or above basic safety skills,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,88,88,88,0,40.54,79.93,93.2,0.0
