freq,indic_is,unit,geo,year,value_raw,value,indic_is_label,unit_label,geo_label,nuts1_name,country_code,nuts_level
A,I_DSK2_AB,PC_IND,AT1,2025,36.81 ,36.81,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Ostösterreich,Ostösterreich,AT,1
A,I_DSK2_AB,PC_IND,AT2,2025,31.11 ,31.11,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Südösterreich,Südösterreich,AT,1
A,I_DSK2_AB,PC_IND,AT3,2025,32.85 ,32.85,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Westösterreich,Westösterreich,AT,1
A,I_DSK2_AB,PC_IND,BE1,2025,35.82 ,35.82,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,1
A,I_DSK2_AB,PC_IND,BE2,2025,29.59 ,29.59,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Vlaams Gewest,Vlaams Gewest,BE,1
A,I_DSK2_AB,PC_IND,BE3,2025,27.81 ,27.81,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Région wallonne,Région wallonne,BE,1
A,I_DSK2_AB,PC_IND,BG3,2025,10.92 ,10.92,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Severna i Yugoiztochna Bulgaria,Severna i Yugoiztochna Bulgaria,BG,1
A,I_DSK2_AB,PC_IND,BG4,2025,12.55 ,12.55,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Yugozapadna i Yuzhna tsentralna Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,BG,1
A,I_DSK2_AB,PC_IND,DE1,2025,28.00 ,28.0,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Baden-Württemberg,Baden-Württemberg,DE,1
A,I_DSK2_AB,PC_IND,DE2,2025,19.75 ,19.75,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Bayern,Bayern,DE,1
A,I_DSK2_AB,PC_IND,DE3,2025,36.42 ,36.42,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Berlin,Berlin,DE,1
