freq,indic_is,unit,geo,year,value_raw,value
A,I_DSK2_AB,PC_IND,AL,2025,8.07 ,8.07
A,I_DSK2_AB,PC_IND,AT,2025,34.26 ,34.26
A,I_DSK2_AB,PC_IND,AT1,2025,36.81 ,36.81
A,I_DSK2_AB,PC_IND,AT2,2025,31.11 ,31.11
A,I_DSK2_AB,PC_IND,AT3,2025,32.85 ,32.85
A,I_DSK2_AB,PC_IND,BA,2025,9.75 ,9.75
A,I_DSK2_AB,PC_IND,BE,2025,29.69 ,29.69
A,I_DSK2_AB,PC_IND,BE1,2025,35.82 ,35.82
A,I_DSK2_AB,PC_IND,BE2,2025,29.59 ,29.59
A,I_DSK2_AB,PC_IND,BE3,2025,27.81 ,27.81
A,I_DSK2_AB,PC_IND,BG,2025,11.77 ,11.77
A,I_DSK2_AB,PC_IND,BG3,2025,10.92 ,10.92
A,I_DSK2_AB,PC_IND,BG4,2025,12.55 ,12.55
A,I_DSK2_AB,PC_IND,CH,2025,45.47 ,45.47
A,I_DSK2_AB,PC_IND,CY,2025,18.26 ,18.26
A,I_DSK2_AB,PC_IND,CZ,2025,37.34 ,37.34
A,I_DSK2_AB,PC_IND,DE,2025,24.21 ,24.21
A,I_DSK2_AB,PC_IND,DE1,2025,28.00 ,28.0
A,I_DSK2_AB,PC_IND,DE2,2025,19.75 ,19.75
A,I_DSK2_AB,PC_IND,DE3,2025,36.42 ,36.42
A,I_DSK2_AB,PC_IND,DE4,2025,24.27 ,24.27
A,I_DSK2_AB,PC_IND,DE6,2025,33.63 ,33.63
A,I_DSK2_AB,PC_IND,DE7,2025,21.20 ,21.2
A,I_DSK2_AB,PC_IND,DE8,2025,10.88 u,10.88
A,I_DSK2_AB,PC_IND,DE9,2025,25.25 ,25.25
A,I_DSK2_AB,PC_IND,DEA,2025,25.96 ,25.96
A,I_DSK2_AB,PC_IND,DED,2025,25.65 ,25.65
A,I_DSK2_AB,PC_IND,DEE,2025,13.88 ,13.88
A,I_DSK2_AB,PC_IND,DEF,2025,25.58 ,25.58
A,I_DSK2_AB,PC_IND,DK,2025,53.04 ,53.04
A,I_DSK2_AB,PC_IND,EE,2025,33.65 ,33.65
A,I_DSK2_AB,PC_IND,EL,2025,27.47 ,27.47
A,I_DSK2_AB,PC_IND,EL3,2025,23.58 ,23.58
A,I_DSK2_AB,PC_IND,EL4,2025,29.01 ,29.01
A,I_DSK2_AB,PC_IND,EL5,2025,35.21 ,35.21
A,I_DSK2_AB,PC_IND,EL6,2025,23.74 ,23.74
A,I_DSK2_AB,PC_IND,ES,2025,38.86 ,38.86
A,I_DSK2_AB,PC_IND,ES1,2025,36.81 ,36.81
A,I_DSK2_AB,PC_IND,ES2,2025,36.73 ,36.73
A,I_DSK2_AB,PC_IND,ES3,2025,44.75 ,44.75
A,I_DSK2_AB,PC_IND,ES4,2025,34.60 ,34.6
A,I_DSK2_AB,PC_IND,ES5,2025,41.55 ,41.55
A,I_DSK2_AB,PC_IND,ES6,2025,35.54 ,35.54
A,I_DSK2_AB,PC_IND,ES7,2025,36.37 ,36.37
A,I_DSK2_AB,PC_IND,FI,2025,54.91 ,54.91
A,I_DSK2_AB,PC_IND,FR,2025,34.99 ,34.99
A,I_DSK2_AB,PC_IND,FR1,2025,41.04 u,41.04
A,I_DSK2_AB,PC_IND,FRB,2025,34.36 u,34.36
A,I_DSK2_AB,PC_IND,FRC,2025,25.49 u,25.49
A,I_DSK2_AB,PC_IND,FRD,2025,33.16 u,33.16
A,I_DSK2_AB,PC_IND,FRE,2025,30.81 u,30.81
A,I_DSK2_AB,PC_IND,FRF,2025,30.93 u,30.93
A,I_DSK2_AB,PC_IND,FRG,2025,37.46 u,37.46
A,I_DSK2_AB,PC_IND,FRH,2025,35.45 u,35.45
A,I_DSK2_AB,PC_IND,FRI,2025,33.32 u,33.32
A,I_DSK2_AB,PC_IND,FRJ,2025,34.53 u,34.53
A,I_DSK2_AB,PC_IND,FRK,2025,37.73 u,37.73
A,I_DSK2_AB,PC_IND,FRL,2025,33.99 u,33.99
A,I_DSK2_AB,PC_IND,FRM,2025,38.57 u,38.57
A,I_DSK2_AB,PC_IND,FRY,2025,28.51 u,28.51
A,I_DSK2_AB,PC_IND,HR,2025,27.66 ,27.66
A,I_DSK2_AB,PC_IND,HU,2025,34.05 ,34.05
A,I_DSK2_AB,PC_IND,HU1,2025,46.07 ,46.07
A,I_DSK2_AB,PC_IND,HU2,2025,29.00 ,29.0
A,I_DSK2_AB,PC_IND,HU3,2025,27.92 ,27.92
A,I_DSK2_AB,PC_IND,IE,2025,54.41 ,54.41
A,I_DSK2_AB,PC_IND,IT,2025,31.51 ,31.51
A,I_DSK2_AB,PC_IND,ITC,2025,36.33 ,36.33
A,I_DSK2_AB,PC_IND,ITF,2025,23.40 ,23.4
A,I_DSK2_AB,PC_IND,ITG,2025,25.02 ,25.02
A,I_DSK2_AB,PC_IND,ITH,2025,35.74 ,35.74
A,I_DSK2_AB,PC_IND,ITI,2025,33.70 ,33.7
A,I_DSK2_AB,PC_IND,LT,2025,27.33 ,27.33
A,I_DSK2_AB,PC_IND,LU,2025,28.12 ,28.12
A,I_DSK2_AB,PC_IND,LV,2025,20.14 ,20.14
A,I_DSK2_AB,PC_IND,ME,2025,10.72 ,10.72
A,I_DSK2_AB,PC_IND,MK,2025,6.14 ,6.14
A,I_DSK2_AB,PC_IND,MT,2025,38.04 ,38.04
A,I_DSK2_AB,PC_IND,NL,2025,55.61 ,55.61
A,I_DSK2_AB,PC_IND,NL1,2025,50.42 ,50.42
A,I_DSK2_AB,PC_IND,NL2,2025,53.06 ,53.06
A,I_DSK2_AB,PC_IND,NL3,2025,59.42 ,59.42
A,I_DSK2_AB,PC_IND,NL4,2025,51.83 ,51.83
A,I_DSK2_AB,PC_IND,NO,2025,51.16 ,51.16
A,I_DSK2_AB,PC_IND,PL,2025,23.55 ,23.55
A,I_DSK2_AB,PC_IND,PL2,2025,27.28 ,27.28
A,I_DSK2_AB,PC_IND,PL4,2025,22.59 ,22.59
A,I_DSK2_AB,PC_IND,PL5,2025,23.38 ,23.38
A,I_DSK2_AB,PC_IND,PL6,2025,20.56 ,20.56
A,I_DSK2_AB,PC_IND,PL7,2025,15.72 ,15.72
A,I_DSK2_AB,PC_IND,PL8,2025,17.72 ,17.72
A,I_DSK2_AB,PC_IND,PL9,2025,33.17 ,33.17
A,I_DSK2_AB,PC_IND,PT,2025,31.97 ,31.97
A,I_DSK2_AB,PC_IND,PT1,2025,32.48 ,32.48
A,I_DSK2_AB,PC_IND,PT2,2025,21.86 ,21.86
A,I_DSK2_AB,PC_IND,PT3,2025,22.49 ,22.49
A,I_DSK2_AB,PC_IND,RO,2025,11.13 ,11.13
