geo,nuts1_name,country_code,nuts_level
DEF,Schleswig-Holstein,DE,1
DE2,Bayern,DE,1
DE3,Berlin,DE,1
DEG,Thüringen,DE,1
EL4,"Nisia Aigaiou, Kriti",EL,1
DE4,Brandenburg,DE,1
DE5,Bremen,DE,1
DE6,Hamburg,DE,1
DK0,Danmark,DK,1
EE0,Eesti,EE,1
DEA,Nordrhein-Westfalen,DE,1
DE7,Hessen,DE,1
DEB,Rheinland-Pfalz,DE,1
CZ0,Česko,CZ,1
EL3,Attiki,EL,1
DEC,Saarland,DE,1
DE8,Mecklenburg-Vorpommern,DE,1
DED,Sachsen,DE,1
DE1,Baden-Württemberg,DE,1
DE9,Niedersachsen,DE,1
DEE,Sachsen-Anhalt,DE,1
BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,BG,1
AT2,Südösterreich,AT,1
AL0,Shqipëria,AL,1
CY0,Kýpros,CY,1
AT1,Ostösterreich,AT,1
AT3,Westösterreich,AT,1
CH0,Schweiz/Suisse/Svizzera,CH,1
BA0,Bosna I Hercegovina,BA,1
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,1
BE2,Vlaams Gewest,BE,1
BE3,Région wallonne,BE,1
BG3,Severna i Yugoiztochna Bulgaria,BG,1
FRC,Bourgogne-Franche-Comté,FR,1
FRK,Auvergne-Rhône-Alpes,FR,1
FRF,Grand Est,FR,1
FRH,Bretagne,FR,1
FRI,Nouvelle-Aquitaine,FR,1
FRL,Provence-Alpes-Côte d’Azur,FR,1
FRG,Pays de la Loire,FR,1
FRM,Corse,FR,1
FR1,Ile-de-France,FR,1
FRJ,Occitanie,FR,1
FRD,Normandie,FR,1
FRB,Centre — Val de Loire,FR,1
FRE,Hauts-de-France,FR,1
FI1,Manner-Suomi,FI,1
FI2,Åland,FI,1
ES4,Centro (ES),ES,1
ES5,Este,ES,1
ES1,Noroeste,ES,1
EL5,Voreia Elláda,EL,1
ES2,Noreste,ES,1
ES3,Comunidad de Madrid,ES,1
ES6,Sur,ES,1
ES7,Canarias,ES,1
EL6,Kentriki Elláda,EL,1
MK0,Severna Makedonija ,MK,1
MT0,Malta,MT,1
NL1,Noord-Nederland,NL,1
ITG,Isole,IT,1
NL2,Oost-Nederland,NL,1
ITF,Sud,IT,1
HR0,Hrvatska,HR,1
HU1,Közép-Magyarország,HU,1
NL4,Zuid-Nederland,NL,1
HU2,Dunántúl,HU,1
NL3,West-Nederland,NL,1
ITH,Nord-Est,IT,1
FRY,RUP FR — Régions Ultrapériphériques Françaises,FR,1
HU3,Alföld és Észak,HU,1
ITI,Centro (IT),IT,1
LI0,Liechtenstein,LI,1
LT0,Lietuva,LT,1
LU0,Luxembourg,LU,1
LV0,Latvija,LV,1
ME0,Crna Gora,ME,1
ITC,Nord-Ovest,IT,1
IE0,Ireland,IE,1
IS0,Ísland,IS,1
SK0,Slovensko,SK,1
TR1,İstanbul,TR,1
SI0,Slovenija,SI,1
TR8,Batı Karadeniz,TR,1
SE1,Östra Sverige,SE,1
SE2,Södra Sverige,SE,1
SE3,Norra Sverige,SE,1
TR7,Orta Anadolu,TR,1
TR2,Batı Marmara,TR,1
RS2,Serbia - jug ,RS,1
TR3,Ege,TR,1
TR6,Akdeniz,TR,1
TR4,Doğu Marmara,TR,1
TR5,Batı Anadolu,TR,1
RO4,Macroregiunea Patru,RO,1
PL8,Makroregion wschodni,PL,1
PT1,Continente,PT,1
RS1,Serbia - sever,RS,1
PT2,Região Autónoma dos Açores,PT,1
PL9,Makroregion województwo mazowieckie,PL,1
PT3,Região Autónoma da Madeira,PT,1
PL4,Makroregion północno-zachodni,PL,1
RO1,Macroregiunea Unu,RO,1
PL5,Makroregion południowo-zachodni,PL,1
RO2,Macroregiunea Doi,RO,1
PL6,Makroregion północny,PL,1
NO0,Norge,NO,1
RO3,Macroregiunea Trei,RO,1
PL7,Makroregion centralny,PL,1
PL2,Makroregion południowy,PL,1
TR9,Doğu Karadeniz,TR,1
TRA,Kuzeydoğu Anadolu,TR,1
TRB,Ortadoğu Anadolu,TR,1
TRC,Güneydoğu Anadolu,TR,1
XK0,Kosovo,XK,1
