freq,indic_is,unit,geo\TIME_PERIOD	2025 
A,I_DSK2_AB,PC_IND,AL	8.07 
A,I_DSK2_AB,PC_IND,AT	34.26 
A,I_DSK2_AB,PC_IND,AT1	36.81 
A,I_DSK2_AB,PC_IND,AT2	31.11 
A,I_DSK2_AB,PC_IND,AT3	32.85 
A,I_DSK2_AB,PC_IND,BA	9.75 
A,I_DSK2_AB,PC_IND,BE	29.69 
A,I_DSK2_AB,PC_IND,BE1	35.82 
A,I_DSK2_AB,PC_IND,BE2	29.59 
A,I_DSK2_AB,PC_IND,BE3	27.81 
A,I_DSK2_AB,PC_IND,BG	11.77 
A,I_DSK2_AB,PC_IND,BG3	10.92 
A,I_DSK2_AB,PC_IND,BG4	12.55 
A,I_DSK2_AB,PC_IND,CH	45.47 
A,I_DSK2_AB,PC_IND,CY	18.26 
A,I_DSK2_AB,PC_IND,CZ	37.34 
A,I_DSK2_AB,PC_IND,DE	24.21 
A,I_DSK2_AB,PC_IND,DE1	28.00 
A,I_DSK2_AB,PC_IND,DE2	19.75 
A,I_DSK2_AB,PC_IND,DE3	36.42 
A,I_DSK2_AB,PC_IND,DE4	24.27 
A,I_DSK2_AB,PC_IND,DE6	33.63 
A,I_DSK2_AB,PC_IND,DE7	21.20 
A,I_DSK2_AB,PC_IND,DE8	10.88 u
A,I_DSK2_AB,PC_IND,DE9	25.25 
A,I_DSK2_AB,PC_IND,DEA	25.96 
A,I_DSK2_AB,PC_IND,DED	25.65 
A,I_DSK2_AB,PC_IND,DEE	13.88 
A,I_DSK2_AB,PC_IND,DEF	25.58 
A,I_DSK2_AB,PC_IND,DK	53.04 
A,I_DSK2_AB,PC_IND,EE	33.65 
A,I_DSK2_AB,PC_IND,EL	27.47 
A,I_DSK2_AB,PC_IND,EL3	23.58 
A,I_DSK2_AB,PC_IND,EL4	29.01 
A,I_DSK2_AB,PC_IND,EL5	35.21 
A,I_DSK2_AB,PC_IND,EL6	23.74 
A,I_DSK2_AB,PC_IND,ES	38.86 
A,I_DSK2_AB,PC_IND,ES1	36.81 
A,I_DSK2_AB,PC_IND,ES2	36.73 
A,I_DSK2_AB,PC_IND,ES3	44.75 
A,I_DSK2_AB,PC_IND,ES4	34.60 
A,I_DSK2_AB,PC_IND,ES5	41.55 
A,I_DSK2_AB,PC_IND,ES6	35.54 
A,I_DSK2_AB,PC_IND,ES7	36.37 
A,I_DSK2_AB,PC_IND,FI	54.91 
A,I_DSK2_AB,PC_IND,FR	34.99 
A,I_DSK2_AB,PC_IND,FR1	41.04 u
A,I_DSK2_AB,PC_IND,FRB	34.36 u
A,I_DSK2_AB,PC_IND,FRC	25.49 u
A,I_DSK2_AB,PC_IND,FRD	33.16 u
A,I_DSK2_AB,PC_IND,FRE	30.81 u
A,I_DSK2_AB,PC_IND,FRF	30.93 u
A,I_DSK2_AB,PC_IND,FRG	37.46 u
A,I_DSK2_AB,PC_IND,FRH	35.45 u
A,I_DSK2_AB,PC_IND,FRI	33.32 u
A,I_DSK2_AB,PC_IND,FRJ	34.53 u
A,I_DSK2_AB,PC_IND,FRK	37.73 u
A,I_DSK2_AB,PC_IND,FRL	33.99 u
A,I_DSK2_AB,PC_IND,FRM	38.57 u
A,I_DSK2_AB,PC_IND,FRY	28.51 u
A,I_DSK2_AB,PC_IND,HR	27.66 
A,I_DSK2_AB,PC_IND,HU	34.05 
A,I_DSK2_AB,PC_IND,HU1	46.07 
A,I_DSK2_AB,PC_IND,HU2	29.00 
A,I_DSK2_AB,PC_IND,HU3	27.92 
A,I_DSK2_AB,PC_IND,IE	54.41 
A,I_DSK2_AB,PC_IND,IT	31.51 
A,I_DSK2_AB,PC_IND,ITC	36.33 
A,I_DSK2_AB,PC_IND,ITF	23.40 
A,I_DSK2_AB,PC_IND,ITG	25.02 
A,I_DSK2_AB,PC_IND,ITH	35.74 
A,I_DSK2_AB,PC_IND,ITI	33.70 
A,I_DSK2_AB,PC_IND,LT	27.33 
A,I_DSK2_AB,PC_IND,LU	28.12 
A,I_DSK2_AB,PC_IND,LV	20.14 
A,I_DSK2_AB,PC_IND,ME	10.72 
A,I_DSK2_AB,PC_IND,MK	6.14 
A,I_DSK2_AB,PC_IND,MT	38.04 
